dataSetIndex,algo_index,query_nums,time
2,8,78,406
2,8,79,1589
2,8,80,1015
2,8,81,1340
2,8,82,612
2,8,83,252
2,8,84,407
2,8,85,1191
2,8,86,622
2,8,87,1236
2,8,88,1687
2,8,89,1255
2,8,90,1452
2,8,91,1279
2,8,92,585
2,8,93,583
2,8,94,651
2,8,95,1549
2,8,96,1470
2,8,97,1003
2,8,98,1178
2,8,99,1298
2,8,100,505
2,8,101,932
2,8,102,1393
2,8,103,510
2,8,104,887
2,8,105,1085
2,8,106,736
2,8,107,791
2,8,108,454
2,8,109,1531
2,8,110,1551
2,8,111,995
2,8,112,1220
2,8,113,2062
2,8,114,1087
2,8,115,1249
2,8,116,499
2,8,117,707
2,8,118,1503
2,8,119,1761
2,8,120,2086
2,8,121,1152
2,8,122,1187
2,8,123,1252
2,8,124,230
2,8,125,621
2,8,126,1542
2,8,127,1197
2,8,128,231
2,8,129,256
2,8,130,1384
2,8,131,1520
2,8,132,1135
2,8,133,124
2,8,134,1402
2,8,135,1119
2,8,136,1415
2,8,137,678
2,8,138,212
2,8,139,1414
2,8,140,1462
2,8,141,1370
2,8,142,570
2,8,143,491
2,8,144,1851
2,8,145,1219
2,8,146,1171
2,8,147,1104
2,8,148,1197
2,8,149,1063
2,8,150,791
2,8,151,1790
2,8,152,1381
2,8,153,555
2,8,154,1526
2,8,155,1166
2,8,156,1287
2,8,157,997
2,8,158,1332
2,8,159,1663
2,8,160,380
2,8,161,1386
2,8,162,852
2,8,163,1146
2,8,164,1634
2,8,165,579
2,8,166,1269
2,8,167,804
2,8,168,736
2,8,169,580
2,8,170,136
2,8,171,448
2,8,172,2005
2,8,173,1283
2,8,174,1248
2,8,175,1252
2,8,176,359
2,8,177,1299
2,8,178,1234
2,8,179,1243
2,8,180,575
2,8,181,431
2,8,182,460
2,8,183,855
2,8,184,593
2,8,185,1169
2,8,186,1245
2,8,187,1440
2,8,188,547
2,8,189,1309
2,8,190,718
2,8,191,721
2,8,192,1656
2,8,193,144
2,8,194,1520
2,8,195,621
2,8,196,1035
2,8,197,1421
2,8,198,1167
2,8,199,515
2,8,200,1281
