dataSetIndex,algo_index,query_nums,single_time,accumulated_time
0,4,125,50,6645
0,4,126,48,6693
0,4,127,49,6742
0,4,128,48,6790
0,4,129,49,6839
0,4,130,48,6887
0,4,131,47,6934
0,4,132,48,6982
0,4,133,49,7031
0,4,134,49,7080
0,4,135,48,7128
0,4,136,49,7177
0,4,137,49,7226
0,4,138,50,7276
0,4,139,50,7326
0,4,140,49,7375
0,4,141,52,7427
0,4,142,49,7476
0,4,143,49,7525
0,4,144,48,7573
0,4,145,50,7623
0,4,146,48,7671
0,4,147,49,7720
0,4,148,49,7769
0,4,149,49,7818
0,4,150,49,7867
0,4,151,48,7915
0,4,152,48,7963
0,4,153,49,8012
0,4,154,49,8061
0,4,155,48,8109
0,4,156,48,8157
0,4,157,48,8205
0,4,158,49,8254
0,4,159,52,8306
0,4,160,48,8354
0,4,161,49,8403
0,4,162,49,8452
0,4,163,50,8502
0,4,164,49,8551
0,4,165,50,8601
0,4,166,48,8649
0,4,167,50,8699
0,4,168,49,8748
0,4,169,49,8797
0,4,170,49,8846
0,4,171,49,8895
0,4,172,48,8943
0,4,173,48,8991
0,4,174,49,9040
0,4,175,49,9089
0,4,176,50,9139
0,4,177,50,9189
0,4,178,49,9238
0,4,179,48,9286
0,4,180,49,9335
0,4,181,49,9384
0,4,182,49,9433
0,4,183,48,9481
0,4,184,49,9530
0,4,185,48,9578
0,4,186,48,9626
0,4,187,50,9676
0,4,188,48,9724
0,4,189,49,9773
0,4,190,49,9822
0,4,191,49,9871
0,4,192,49,9920
0,4,193,50,9970
0,4,194,49,10019
0,4,195,49,10068
0,4,196,47,10115
0,4,197,49,10164
0,4,198,49,10213
0,4,199,48,10261
0,4,200,49,10310
0,5,1,124,124
0,5,2,117,241
0,5,3,109,350
0,5,4,93,443
0,5,5,57,500
0,5,6,111,611
0,5,7,68,679
0,5,8,79,758
0,5,9,61,819
0,5,10,41,860
0,5,11,39,899
0,5,12,31,930
0,5,13,30,960
0,5,14,27,987
0,5,15,34,1021
0,5,16,33,1054
0,5,17,33,1087
0,5,18,32,1119
0,5,19,33,1152
0,5,20,27,1179
0,5,21,44,1223
0,5,22,37,1260
0,5,23,23,1283
0,5,24,25,1308
0,5,25,35,1343
0,5,26,33,1376
0,5,27,33,1409
0,5,28,32,1441
0,5,29,33,1474
0,5,30,52,1526
0,5,31,47,1573
0,5,32,43,1616
0,5,33,44,1660
0,5,34,43,1703
0,5,35,44,1747
0,5,36,29,1776
0,5,37,33,1809
0,5,38,15,1824
0,5,39,30,1854
0,5,40,45,1899
0,5,41,31,1930
0,5,42,31,1961
0,5,43,29,1990
